27  -0.379082  21.7595  -20.0518  -0.427932  21.7791  -20.149  -0.405458  21.8743  -20.1016  -0.42754  21.7831  -20.1463  -0.409947  21.7935  -20.101  -0.386414  21.883  -20.0556
28  -0.175605  21.1318  -20.8461  -0.206428  21.1534  -20.8898  -0.38455  21.1728  -21.1578  -0.207843  21.1597  -20.8836  -0.192218  21.1659  -20.8631  -0.367465  21.1826  -21.116
29  -0.0887616  20.6484  -21.5211  -0.119063  20.6668  -21.5493  -0.164131  20.6361  -21.7935  -0.123023  20.6703  -21.5613  -0.10641  20.6779  -21.5388  -0.148495  20.6468  -21.756
30  -0.15452  20.2609  -22.3006  -0.11527  20.2576  -22.316  -0.145939  20.2697  -22.3398  -0.116664  20.258  -22.3416  -0.177024  20.2852  -22.3396  -0.129012  20.2827  -22.3025
31  -0.186103  19.8119  -23.193  -0.104038  19.8913  -23.1546  -0.187362  19.842  -23.16  -0.101389  19.895  -23.1662  -0.199838  19.8337  -23.2545  -0.167865  19.8568  -23.1262
32  -0.0265994  19.5299  -23.6579  -0.0462827  19.6054  -23.8548  -0.0626074  19.52  -23.7744  -0.0432774  19.6084  -23.8658  -0.0242805  19.5576  -23.6982  -0.0412455  19.5372  -23.7396
33  0.0947001  19.4124  -23.9805  -0.152583  19.6025  -24.7336  0.0482186  19.382  -24.1385  -0.155872  19.6009  -24.7492  0.0882029  19.4345  -24.0156  0.0655825  19.399  -24.1018
34  -0.0357525  19.4432  -24.899  -0.246153  19.5396  -25.6087  -0.0895301  19.4707  -24.9096  -0.249294  19.5372  -25.6174  -0.0680615  19.4501  -24.9781  -0.074216  19.4841  -24.8763
35  -0.187569  19.3858  -25.8776  -0.141328  19.2376  -25.9632  -0.22313  19.4404  -25.8108  -0.143811  19.2406  -25.9553  -0.213842  19.3957  -25.9762  -0.206932  19.4529  -25.7753
36  -0.0630023  19.1822  -26.0688  0.023881  19.1031  -26.1717  -0.0849616  19.2229  -26.0513  0.0211713  19.108  -26.1594  -0.0673626  19.2008  -26.1494  -0.0776636  19.2441  -26.0208
37  0.0953271  19.1338  -26.0756  -0.134056  19.2818  -26.773  0.0751731  19.1547  -26.1103  -0.138932  19.2739  -26.7898  0.0955279  19.1481  -26.1693  0.105785  19.1758  -26.082
38  -0.0320987  19.3342  -26.6169  -0.360176  19.3109  -27.4536  -0.0434151  19.3383  -26.6491  -0.361138  19.304  -27.4585  -0.0339794  19.3239  -26.7401  -0.0276108  19.3565  -26.6144
39  -0.289663  19.3992  -27.2189  -0.268622  19.2051  -27.2501  -0.20323  19.4971  -27.143  -0.270922  19.2128  -27.218  -0.203176  19.4771  -27.2519  -0.209976  19.5127  -27.1065
40  -0.219934  19.3715  -26.8498  -0.0739035  19.3157  -26.7236  -0.265966  19.6394  -27.3052  -0.0798123  19.3231  -26.6959  -0.242867  19.6317  -27.378  -0.253583  19.6569  -27.2646
41  -0.0617821  19.558  -26.1346  -0.180289  19.61  -26.9444  -0.231384  19.6669  -26.7463  -0.17963  19.6106  -26.9355  -0.204252  19.6732  -26.7883  -0.198675  19.6899  -26.7106
42  -0.0940454  19.8703  -26.2053  -0.433946  19.8253  -27.0323  -0.124683  19.8105  -26.1608  -0.419762  19.8302  -27.013  -0.098858  19.8171  -26.2063  -0.0876917  19.8365  -26.1194
